Title,Company,Location,Skills
Human Resources (HR),CareerDNA,Kolkata,N/A
Marketing,Ketto Online Ventures Private Limited,Mumbai,N/A
Human Resources (HR),Sykam Consultancy Services Private Limited,Hyderabad,N/A
Human Resource Consultant,WEMATTER PXT Limited,Mumbai,N/A
Social Media Marketing,Movi Ecoserve Private Limited,Mumbai                                                                (Hybrid),N/A
"Electrical, Electronics & Systems Engineering, EV",Gray Mobility,Bangalore                                                                (Hybrid),N/A
Data Entry,Content-Whale,Mumbai,N/A
Subject Matter Expert (Anatomy And Physiology),KUNDUZ TECHNOLOGIES PRIVATE LIMITED,Work from home,N/A
Electrical Engineering,Planys Technologies Private Limited,Chennai,N/A
Digital Marketing,Fantasy Flora Events Private Limited,Hyderabad                                                                (Hybrid),N/A
Media & Public Relations (PR),Right Health India,Mumbai,N/A
Marketing,Boho Procure,Mumbai,N/A
Data Entry,Total Transport System Limited,Mumbai,N/A
Marketing,Boho Procure,Mumbai,N/A
Chemistry,Technolira Innovations Private Limited,Pune,N/A
Architecture,Ipsita Mondal Design Co.,Gurgaon,N/A
Human Resources (HR),Ziegler Aerospace,Hyderabad,N/A
Content and Social Media Marketing,Haus & Kinder,Mumbai,N/A
Content Writing,TFM Overseas Education Consultants,Mumbai                                                                (Hybrid),N/A
Administration,Vivaan Parashar,Mumbai                                                                (Hybrid),N/A
Sales and Marketing,Buffalo Extraction Systems Private Limited,Pune,N/A
Video Content Creator (Marathi),ClusterDev Technologies Private Limited,Work from home,N/A
Telecaller Executive,Intugine Technologies Private Limited,Bangalore,N/A
Production,Boxedge Solutions LLP,Bangalore,N/A
Growth Marketing,CogniAI Private Limited,Gurgaon                                                                (Hybrid),N/A
Law/Legal,Anurag Agrawal,Indore,N/A
Video Editing/Making,Abhishek Sinngh,Work from home,N/A
Performance Marketing,My Equity School,Mumbai,N/A
Social Media Marketing,CogniAI Private Limited,Gurgaon                                                                (Hybrid),N/A
Business Development (Sales),Natturz Bio Kontrol Private Limited,Goa Velha                                                                (Hybrid),N/A
Influencer Marketing,Fantasy Flora Events Private Limited,Hyderabad                                                                (Hybrid),N/A
Content Writing,Brightrays,Noida,N/A
Public Relations (PR),Jarurat Care,Work from home,N/A
Graphic Design,Eka Studio By Sana,Delhi,N/A
Operations,Universal Adventures,Work from home,N/A
Sales Development Representative,AI Certs,Work from home,N/A
E-Commerce Operations,Threads And Blocks,Mumbai,N/A
Prompt Engineering,NoBroker,Bangalore,N/A
Content and Social Media Marketing,AnacoDiva Foods Private Limited,"Navi Mumbai, Mumbai                                                                (Hybrid)",N/A
Campus Ambassador,Careers360,Work from home,N/A
Video Editing/Making,Simit Bhagat Studios,Mumbai,N/A
PHP Development,Enpointe,Mumbai,N/A
Graphic Design,Break The Code,"Thane, Mumbai, Virar, Mira Bhayandar, Nala Sopara, Dahisar, Titwala, Vasai-Virar, Bandra",N/A
Graphic Design,Prodigious Online,Zirakpur,N/A
Administration Trainee,Avaesa,Chennai,N/A
Robotics,Xboom Utilities Private Limited,Bangalore,N/A
Sales,Valuebound,Bangalore,N/A
Graphic Design,Alphanumeric Ideas Private Limited,Mohali,N/A
Humane Education (kindness To Animals) Sessions Co-ordination,Maitri Bhavna Foundation,Jaipur,N/A
Customer Service/Customer Support,Navir Consultants,"Thane, Navi Mumbai, Dombivli, Kalyan, Vashi, Panvel",N/A
Cataloging,ODN Digital Services Private Limited,Delhi,N/A
Business Development (Sales),Surfair Express Cargo And Logistics Private Limited,Bangalore,N/A
